index,name ,mood,year,artist,lyrics
53,Jai Chiranjeeva ,Devotional,1990,S. P. Sailaja,"""ఆ ఆఆ ఆ… ఆఆ ఆఆ ఆఆ జై చిరంజీవా జగదేక వీరా, జై చిరంజీవా జగదేక వీరా, అసహాయ శూరా అంజని కుమారా. జై చిరంజీవా జగదేక వీరా, అసహాయ శూరా అంజని కుమారా, దీవించ రావయ్య వాయు సంచారా, రక్షించవేలయ్య శ్రీరామ దూత. జై చిరంజీవా, వీరాంజనేయా శూరాంజనేయ, ప్రసన్నాంజనేయ ప్రభా దివ్యకాయా. జై చిరంజీవా, ఆరోగ్యదాతా… అభయ ప్రదాతా, ఆరోగ్యదాతా… అభయ ప్రదాతా, ఉన్మాద భయ జాడ్య పీడా నివారా. సంజీవి గిరివాహా… సానీరిసాహా, సంజీవి గిరివాహ సానీరిసాహొ. జై చిరంజీవా జగదేక వీరా."""
54,Omkaram Srusthi,Devotional,2012,Venkat Sai,"""ఓం ఓం ఓంకారం సృష్టి సారం, విధివిధి లికితం, మోక్షధక్షం సుభిక్షం. గంగాంగం దివ్యలింగం, గజముఖ వినుతం, సర్నపూర్ణ సమక్షం. వేదార్థం వ్యాసపీఠం, సురముని సహితం, శాంతికాంతం సుకాంతం. విశ్వేశం చిత్రకాశం, శ్రీతజన వరదం, కాశినాధం నమామి ఓం ఓం."""
55,Anjanadri,Devotional,2024,"Sai charan, siva shakthi,GowraHari","""అంజనాద్రిపై సంతతి కొరకై, అహో రాత్రములు తపస్సు చేసే వానర కేసరి, కేసరి కులసతి కడుపు పండగా. జనించినాడొక అసమాన, భలోద్బదుడు సంయుతుడూ, అంజనా సుతుడూ పవన నందనుడూ. అరుణ కిరణముల ఉదయాగ్నిని కని, అది పండిన తియ్యని పండనుకొని, సూర్యమండలము పట్టి తినాలని ఉవ్విళ్ళూరే. తన దేహం మాటున రవిమరుగై, జగము చీకటై పోగా. అది అమరేంద్రుడు గమనించి, తన ఐరావతమధిరోహించి, ఆంజనేయుని సమీపించి, తన వజ్రాయుధమును విసరగా. అది పవన నందనుని హనుముని తాక, చిందిన రక్త బిందువే, విద్యుత్ వేగంతో ధరణీ స్థలి, గంగ కడలిలో చొచ్చి. గంగ కడలి అట్టడుగున గల, శ్రీ రంగ శుద్ధి గర్భమ్ము చేరి యట. కాలక్రమమున ఘనీభవించి, హనుమడు నిలబడి ఖనియై, పర్వత గల ఒక సంవృత యునికై, నిరంతనిశ్చల నిరీక్షణం, వర్ష సహస్రక నిరీక్షణం, నిరంతనిశ్చల నిరీక్షణం, వర్ష సహస్రక నిరీక్షణం."""
56,Raghunandana,Devotional,2024,"Sai charan, Lokeshwar,GowraHari, Harshavardhan chavali","""రామ రామ జయ రామ రామ జయ రామ రామ జయ రామ రామ జయ రామ్. రఘునందన రఘు రఘునందన రఘువరసేవన రఘుపతిఛాయన. శతయోజన శత శతయోజన శరధిని యోజన శరపరిలంఘన. రఘునందన రఘు రఘునందన రఘువరసేవన రఘుపతిఛాయన. శతయోజన శత శతయోజన శరధిని యోజన శరపరిలంఘనమే. అరి భాజన అరి అరి భాజన అరిమదభాజన దశముఖకంపన. బడబాకృత బడ బడబాకృత బడబానలకృత బాహుబస్మార్చన. జయకేతన జయ జయకేతన జయహయ ప్రాపున జయమిడ దాపుగనే. రఘునందన రఘు రఘునందన రఘువరసేవన రఘుపతిఛాయన శతయోజన శత శతయోజన శరధిని యోజన శరపరిలంఘన. అరి భాజన అరి అరి భాజన అరిమదభాజన దశముఖకంపన. బడబాకృత బడ బడబాకృత బడబానలకృత బాహుబస్మార్చన. జయకేతన జయ జయకేతన జయహయ ప్రాపున జయమిడ దాపుగనే."""
57,Ninnu Kori,Romantic,2017,Arun Gopan,"""నిన్ను కోరి నిన్ను కోరి, నిన్ను కోరి నిన్ను కోరి. కదిలే నదిలా, కారిగా కనుల, నిన్ను కోరి నడిచే ప్రతి దారి, నిన్ను కోరి ఎగసే నా ఊపిరి. చెలియా ఓ సఖియా, నిన్ను కోరి, ఓ చెలియా ఓ సఖియా, నిన్ను కోరి."""
58,Nuvvunte Naa Jathaga,Romantic,2014,A. R. Rahman,"""వీచే చిరుగాలిని వెలివేస్తా, హో, పారే నదినావిరి చేస్తా, నేనున్న నేలంతా, ఆ ఆ… మాయం చేశా, లేనే లేదే అవసరమే, నువ్వే నాకు ప్రియవరమే. నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగా, నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగా, నువ్వుంటే నా జతగా, నేనుంటా ఊపిరిగా (ఊపిరిగా ఊపిరిగా). నువ్వుంటే నా జతగా…నా జతగా, నేనుంటా ఊపిరిగా, నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగా, నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగా. నువ్వైనా నమ్మవుగా… చెలియా నేనెవరంటూ, ఎవరూ గుర్తించరుగా… నా ప్రేమవు నువ్వంటూ, నీ కోసం ఈలోకం… బహుమానం చేసేస్తా, నువులేని లోకంలో… నన్నే నే బలిచేస్తా, నువ్వుంటే నా జతగా. ఓ ఓ ఓ ఓ, ప్రేమకు అర్థం ఏదంటే, నిన్నూ నన్నే చూపిస్తా, అడ్డొస్తే ఆ ప్రేమైనా, నా చేతుల్తో నరికేస్తా, సూదీ దారం సాయంతో, కురులూ మీసం కుట్టేస్తా, నీళ్ళను దాచే కొబ్బరిలా, గుండెల్లో నిను కప్పేస్తా, అగ్గిపుల్ల అంచున… రోజా పూయునా, పువ్వుల్లోని తేనె… పురుగులకందునా, మొసళ్లే తగిలే… మొగ్గనై మొలిచా, బూచినే చూసిన… పాపనై బెదిరా. నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగా, నువ్వుంటే నా జతగా… నేనుంటా ఊపిరిగ"
59,Nijame Ne Chebuthunna,Romantic,2023,Sid Sriram,"""తానానే నానానే నానానేనా, తానానే నానానేనే, తానానే నానానే నానానేనా, తారారే రారారే. నిజమే నే చెబుతున్న జానే జానా, నిన్నే నే ప్రేమిస్తున్న, నిజమే నే చెబుతున్న ఏదేమైనా, నా ప్రాణం నీదంటున్న. వెళ్లకే వదిలెళ్ళకే, నా గుండెని దొచేసిలా, చల్లకే వెదజల్లకే, నా చుట్టూ రంగుల్నిలా. తానారే రారారె రారారెనా, తారారె నానారెరే, తానారే నానారె తానారెనా, తారారే రారారే. వెన్నెల తెలుసే నాకు వర్షం తెలుసే, నిను కలిసాకే వెన్నెలవర్షం తెలుసే, మౌనం తెలుసే నాకు మాట తెలుసే, మౌనంలో దాగుండె మాటలు తెలుసే. కన్నుల్తో చూసేది కొంచమే, గుండెల్లో లోతే కనిపించెనే, పైపైన రూపాలు కాదులే, లోలోపలి ప్రేమే చూడాలిలే. నిజమే నే చెబుతున్న జానే జాన, నిన్నే నే ప్రేమిస్తున్నా, నిజమే నే చెబుతున్న ఏదేమైనా, నా ప్రాణం నీదంటున్న. పెదవులతోటి పిలిచే పిలుపులకన్నా, మనసారా ఓ సైగే చాలంటున్న, అడుగులతోటి దూరం కొలిచేకన్నా, దూరాన్ని గుర్తించని పయణంకానా. నీడల్లే వస్తానే నీ జతై, తోడల్లే ఉంటానే నీ కథై, ఓ ఇనుప పలకంటి గుండెపై, కవితల్ని రాసావు దేవతై. నిజమే నే చెబుతున్న జానే జ"
60,Rooba Rooba,Romantic,2010,Shahil hada,"""ఊఅహ ఉఅః ఓ అహు అహు, ఊఅహ ఉఅః ఓ అహు అహు. రూబా రూబా హే రూబా రూబ్బా, రూపం చూస్తే హాయి రబ్బ. తౌబా తౌబా హే తౌబా తౌబా, తుహేయ్ మేరీ మెహబూబా. అయ్యయ్యయ్యో హే మాయో నీవెంట తరుముతోంది, ఉన్నట్టుండి నానేదో ఊపేస్తోంది, సంతోషములో ఈ నిమిషం పిచ్చెక్కినటుంది, రూబా రూబా రోఓ. రూబా రూబా హే రూబా రూబ్బా, రూపం చూస్తే హాయి రబ్బ. తౌబా తౌబా హే తౌబా తౌబా, తుహేయ్ మేరీ మెహబూబా. ఇంచ్ దూరమే అడ్డున, ఎలా ఉండగలమంటుంది, నిను తాకమని తొందర చేసే నా మాదెయ్, కొంటెయ్ చేష్టలెయ్ చేస్తున్న, తనేంచేసిన కాదనదే, ఎంత సేపు కలిసున్నా ఆసెయ్ తీరదేయ్. ఈ ఆనందం లో సద ఉండాలని ఉందే, ఆమైకం లోనే మాదెయ్ ఊరేగుతుందెయ్. నీతో సాగేయ్ ఈ పయనం ఆగేనా ఇక ఏయ్ నిమిషం, రూబా రూబా హే రూబా రూబ్బా, రూపం చూస్తే హాయి రబ్బ. తౌబా తౌబా హే తౌబా తౌబా, తుహేయ్ మేరీ మెహబూబా. ఊఅహ ఊఅహ ఓ అహు అహు, ఊఅహ ఊఅహ ఓ అహు అహు, ఊఅహ ఊఅహ ఒఒఒఒఒ, ఒఒఒఒఒఒ ఒఒఒఒఒ, ఓహోఓఓఓఓ. రెక్కలొచ్చినట్టుంటుందే, మదెయ్ తేలిపోతుంటుందే, రేయ్ పగలు మాట్లాడేస్తున్న చాలాదేయ్, నవ్వు నాకు తెగ నచ్చిందే, నడుస్తునా కల నచ్చిందే, నిన్ను వీడి ఏయ్ వైపుకి అడుగేయ్ సాగద"
61,Anuvanuvuu,Romantic,2024,Sunny M. R.,"""ఆణువణువూ అలలెగసెయ్, తెలియని ఓ ఆనందమే, కనులేదటే నిలిచెనుగా, మనాసేతికే నా స్వప్నమే. కాలాలు కళ్లారా చూసెనులే, వసంతాలు వీచింది ఈ రోజుకే, భరించాను ఈ దూర, తీరాలు నీ కోసమే. ఆణువణువూ అలలెగసెయ్, తెలియని ఓ ఆనందమే, కనులేదటే నిలిచెనుగా, మనాసేతికే నా స్వప్నమే. ఓ చోటే ఉన్నాను, వేచాను వేడానుగా కలవమని, నాలోనే ఉంచాను, ప్రేమంతా దాచనుగా పిలవమని. తారలైన తాకలేని, తాహతున్న ప్రేమని, కష్టమేది కానరాని, ఏది ఏమైనా ఉంటానని. కాలాలు కళ్లారా చూసెనులే, వసంతాలు వీచింది ఈ రోజుకే, భరించాను ఈ దూర, తీరాలు నీ కోసమే. కలిసెనుగా కలిపేంగా, జన్మల భందమే, కరిగెనుగా ముగిసెనుగా, ఇన్నాళ్ల వేదనే. మరిచా ఏనాడో, ఇంత సంతోషమే, తీరే ఇపుడే, పథ సందేహమే. నాలో లేదే మనసే, నీతో చేరే, మాటే ఆగి పోయే, పోయే పోయే ఈ వేళనే."""
62,Nee Jathaga,Romantic,2013,Karthik,"""నీ జతగా నేనుండాలి, నీ యెదలో నే నిండాలి, నీ కథగా నేనే మారాలి, నీ నీడై నే నడవాలి, నీ నిజమై నే నిలవాలి, నీ ఊపిరి నేనే కావాలి. నాకే తెలియని నను చూపించి, నీకై పుట్టాననిపించి, నీ దాకా నను రప్పించావే, నీ సంతోషం నాకందించి, నా పేరుకి అర్ధం మార్చి, నేనంటే నువ్వనిపించావే. నీ జతగా నేనుండాలి, నీ యెదలో నే నిండాలి, నీ కథగా నేనే మారాలి, నీ నీడై నే నడవాలి, నీ నిజమై నే నిలవాలి, నీ ఊపిరి నేనే కావాలి. కాళ్లోకొస్తావనుకున్నా, తెల్లార్లు చూస్తూ కూర్చున్న, రాలేదే జాడైన లేదే, రెప్పలా బయటే నేనున్నా. అవి మూస్తే వద్దామనుకున్నా, పాడుకోవేం పైగా తిడతావేం, లోకంలో లేనట్టి మైకంలో నేనుంటే. వదిలేస్తావా నన్నిలా, నీ లోకం నాకంటే ఇంకేదో, ఉందంటే నమ్మే మాటలా. నీ జతగా నేనుండాలి, నీ యెదలో నే నిండాలి, నీ కథగా నేనే మారాలి. తెలిసి తెలియక వాలింది, నీ నడుంఒంపుల్లో నలిగింది నా చూపు, ఎం చేస్తాం చెప్పు, తోచని తొందర పుడుతుంది, తెగ తుంటరిగా నను నెడుతుంది, నీ వైపు నీదే ఆ తప్పు, నువ్వంటే నువ్వంటూ ఏవేవో, అనుకుంటూ విడిగా ఉండలేముగా. దూరంగా పొమ్మంటూ దూరాన్ని, తరిమేస్తూ ఒ"
63,Undiporaadhey,Romantic,2018,Sid Sriram,"""ఉండిపోరాదే గుండె నీదేలే, హత్తుకోరాదే గుండెకే నన్నే. అయ్యో అయ్యో పాదం నేలపై ఆగనన్నదీ, మళ్లీ మళ్లీ గాల్లో మేఘమై తేలుతున్నది. అందం అమ్మాయైతే నీలా ఉందా అన్నట్టుందే, మోమాటాలే వద్దన్నాయే అడగాలంటే కౌగిలే. ఉండిపోరాదే గుండె నీదేలే, హత్తుకోరాదే గుండెకే నన్నే, ఓ ఓ. నిసిలో సశిలా నిన్నే చూశాక, మనసే మురిసే ఎగసే అలలాగ. ఏదో మైకంలో నేనే ఉన్నాలే, నాలో నేనంటూ లేనులే, మండే ఎండల్లో వెండి వెన్నెలనే, ముందే నేనెపుడూ చూడలే. చీకట్లో కూడ నీడలా, నీవెంటే నేనుండగా, వేరే జన్మంటూ నాకే ఎందుకులే, నీతో ఈ నిమిషం చాలులే. అందం అమ్మాయైతే నీలా ఉందా అన్నట్టుందే, మోమాటాలే వద్దన్నాయే అడగాలంటే కౌగిలే. ఉండిపోరాదే గుండె నీదేలే, హత్తుకోరాదే గుండెకే నన్నే, ఏ ఏ."""
64,Feel My Love,Romantic,2004, K K - Krishnakumar Kunnath,"""ఫీల్ మై లవ్, ఫీల్ మై లవ్. నా ప్రేమను కోపం గానో నా ప్రేమను ద్వేషం గానో, నా ప్రేమను శాపం గానో చెలియా ఫీల్ మై లవ్. నా ప్రేమను భారం గానో నా ప్రేమను దూరం గానో, నా ప్రేమను నేరం గానో సఖియా ఫీల్ మై లవ్. నా ప్రేమను మౌనం గానో నా ప్రేమను హీనం గానో, నా ప్రేమను సూన్యం గానో కాదో లేదో ఎదో. ఫీల్ మై లవ్, ఫీల్ మై లవ్, ఫీల్ మై లవ్, ఫీల్ మై లవ్, ఫీల్ మై లవ్. నా ప్రేమను కోపం గానో నా ప్రేమను ద్వేషం గానో, నా ప్రేమను కోపం గానో నా ప్రేమను ద్వేషం గానో, చెలియా ఫీల్ మై లవ్. నేనిచ్చే లేఖలన్నీ చించేస్తూ ఫీల్ మై లవ్, నే పంపే పువ్వులనే విసిరేస్తూ ఫీల్ మై లవ్, నే చెప్పే కవితలన్నీ చి కొడుతూ ఫీల్ మై లవ్, నా చిలిపి చేష్టలకు విసుగొస్తే ఫీల్ మై లవ్. నా ఉలుకే నచ్చదంటూ నా ఊహే రాదని, నేనంటే గిట్టదు అంటూ నా మాటే చేదని, నా జంటే చేరనంటూ అంటూ అంటూ అనుకుంటూనే. ఫీల్ మై లవ్, ఫీల్ మై లవ్, ఫీల్ మై లవ్, ఫీల్ మై లవ్. నా ప్రేమను కోపం గానో నా ప్రేమను ద్వేషం గానో, నా ప్రేమను శాపం గానో చెలియా ఫీల్ మై లవ్. ఎరుపెక్కి చూస్తూనే కళ్లారా ఫీల్ మై లవ్, ఏదోటి తిడుతూనే నోరారా ఫీల్ మై లవ్, విదిలించి కొడుతూనే చ"
65,Kammani ,Romantic,1992,S. P. Balasubrahmanyam,"""కమ్మని ఈ ప్రేమ లేఖనే రాసింది హృదయమే, ప్రియతమా నీవచట కుశలమా, నేనిచట కుశలమే, ఊహలన్ని పాటలే కనుల తోటలో, తొలి కలల కవితలే మాట మాటలో, ఒహో.. కమ్మని ఈ ప్రేమలేఖనే రాసింది హృదయమే (ప్రియతమా). గుండెల్లో గాయమేమో చల్లంగా మానిపోయే, మాయ చేసే ఆ మాయే ప్రేమాయే, ఎంత గాయమైన గాని నా మేనికేమి గాదు, పువ్వు సోకి నీ సోకు కందేనే, వెలికి రాని వెర్రి ప్రేమ, కన్నీటి ధారలోన కరుగుతున్నది, నాదు శోకమోపలేక, నీ గుండె బాధపడితే తాళనన్నది, మనుషులెరుగలేరు మామూలు ప్రేమ కాదు, అగ్ని కంటే స్వచ్చమైనది, మమకారమే ఈ లాలి పాటగా రాసేది హృదయమా, ఉమదేవిగా శివుని అర్దభాగమై, నాలోన నిలువుమా, శుభలాలి లాలి జో లాలి లాలి జో, ఉమాదేవి లాలి జో లాలి లాలి జో, మమకారమే ఈ లాలి పాటగా రాసేది హృదయమా. నా హృదయమా."""
66,Bommani Geesthey,Romantic,2006,"Gopika Purnima,Jeans Srinivas","""బొమ్మని గీస్తే నీలా ఉందీ, దగ్గరకొచ్చి ఓ ముద్దిమ్మంది. సర్లెపాపం అని దగ్గరికెళితే దాని మనసే నీలో ఉందంది. ఆ ముద్దెదో నీకే ఇమ్మంది. సరసాలాడే వయసొచ్చింది, సరదా పడితే తప్పేముందీ. ఇవ్వాలనీ నాకూ ఉంది, కానీ సిగ్గే నన్ను ఆపింది. దానికి సమయం వేరే ఉందంది. చలిగాలి అంది చెలికి వణుకే పుడుతుంది, వెచ్చని కౌగిలిగా నిను అల్లుకుపొమ్మంది. చలినె తరిమేసే ఆ కిటుకే తెలుసండి, శ్రమపడిపోయేకండీ తమ సాయం వద్దండీ. పొమ్మంటావే బాలికా ఉంటానంటేఏ తోడుగా, హబ్బో ఎంత జాలిరా తమరికి నా మీద. ఎం చెయ్యాలమ్మా నీలో ఎదో దాగుంది, నీ వైపే నన్నే లాగింది. అందంగా ఉంది తనవెంటే పది మంది, పడకుండా చూడు అని నా మానసంటుంది. తమకే తెలియంది నా తోడై ఒకటుంది, మరెవరో కాదండీ అది నా నీడేనండీ. నీతో నడిచి దానికీ అలుపొస్తుందే జానకీ, హయ్యో అలక దేనికి నా నీడవు నువ్వేగ్గ. ఈ మాటకోసం ఇన్నాళ్లుగా వేచివుంది, నా మనసు ఎన్నో కలలే కంటుంది. దాని మనసే నీలో ఉందంది, ఆ ముద్దెదో నీకే ఇమ్మంది."""
67,Manassa,Romantic,2007,Haricharan,"""మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. ఓ సోనా వెన్నెల సోనా, నేనంతా నువ్వయ్యానా, నీ రూపూ రేఖల్లోనా నేనుండీ వెలుగైపోనా. ఓ సోనా వెన్నెల సోనా, నీ వాలే కన్నులోనా, నా చిత్రం చిత్రించెయినా కనుపాపైపోనా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. నీవే తోడని నిజంగా, నీలో చేరితి క్రమంగా, నీవుంటే ఒక యుగమే అయిపోయే ఇక క్షణమే. తెలుసా తెలుసా ఇది తెలుసా, మార్చేసావే నా ఈ వరసా, నువ్వు మార్చేసావే నా ఈ వరసా. ఓ సోనా వెన్నెల సోనా, రేపావే అల్లరి చానా, చెక్కిల్లో చుక్కైపోనా, చూపుల్తో చుట్టేసెయ్ నా. ఓ సోనా వెన్నెల సోనా, ముంగిట్లో ముగ్గై రానా, ముద్దుల్తో ముంచేసెయ్ నా, కౌగిలికే రానా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా."
68,Naalone Pongenu Narmada,Romantic,2008,"V.V. Prassanna,Harish Raghavendra,Devan Ekambaram","""నాలోనే పొంగెను నర్మదా, నీళ్ళల్లో మురిసిన తామరా, అంతట్లో మారెను రుతువులా, పిల్లా నీవల్లా. నీతో పొంగే వెల్లువా, నీళ్ళల్లో ఈదిన తారకా, బంగారు పూవుల కానుకా, పేరేలే కాంచనా. ఓ శాంతి శాంతి ఓ శాంతి, నా ప్రాణం సర్వం నీవేలే, నా శ్వాసే నీవే దోచావే, చెలి నేనే నీవు అయ్యావే. ఏదో ఒకటి నన్ను కలచి, ముక్కు చివరా మర్మమొకటి, కల్లాకపటం కరిగిపోయే, ముసినవ్వా భోగమెల్లా. నువు నిలిచిన చోటేదో, వెల ఎంత పలికేనో, నువు నడిచే బాటంతా, మంచల్లే అయ్యేనో. నాతోటి రా ఇంటి వరకు, నా ఇల్లే చూసి నన్ను మెచ్చు. నీవు నిలిచిన చోటేదో, వెల ఎంత పలికేనో, నువు నడిచే బాటంతా, మంచల్లే అయ్యేనో. కంటి నిద్రే దోచు కెళ్ళావ్‌ దోచు కెళ్ళావ్‌, ఆశలన్నీ జల్లివెళ్ళావ్‌, నిన్ను దాటి పోతూ ఉంటే పోతూ ఉంటే, వీచే గాలి దిశలు మారు. ఆగంటు నీవంటే నాకాళ్ళే ఆగేనే, నీ తలలో పూలన్నీ వసివాడవు ఏనాడు, కౌగిలింతే కోరలేదు కోరితే కౌగిలి కాదు. నా జీవన సర్వం నీతోనే, నను తలచే నిమిషం ఇదియేనే, నువు లేవు లేవు అనుకుంటే, నా హృదయం తట్టుకోలేదే."""
69,Cheppave Chirugali,Romantic,2015,"Udit Narayan,Sujatha","""చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఎక్కడే వసంతాల కేళి, చూపవే నీతో తీసుకెళ్లి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఆశ దీపికలై మెరిసే తారకలు, చూసే తీపి కలై విరిసే కోరికలు. మనతో జతై సాగుతుంటే, హో అడుగే అలై పొంగుతుంది. ఆ చుట్టూ ఇంకా రేయున్నా, అంతా కాంతే చూస్తున్నా. ఎక్కడ ఎక్కడ ఎక్కడ వేకువ అంటూ, రెక్కలు విప్పుకు ఎగిరే కళ్ళు. దిక్కులు తెంచుకు దూసుకుపోతూ ఉంటె, ఆపగలవ చీకట్లు. కురిసే సుగంధాల హోలీ, ఓ చూపదా వసంతాల కేళి. కురిసే సుగంధాల హోలీ, ఓ చూపదా వసంతాల కేళి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. యమునా తీరాలా కథ వినిపించేలా, రాధామాధవుల జత కనిపించేలా. పాడనీ వెన్నెల్లో ఈ వేళా, చెవిలో సన్నాయి రాగంలా. ఓ కలలే నిజమై అందేలా, ఊగే ఊహల ఉయ్యాల. లాహిరి లాహిరి లాహిరి తారంగాల, రాతిరి యేటిని ఈదే వేళా. జాజిరి జాజిరి జాజిరి జానపదంలా, పొద్దే పలకరించాలి. ఊపిరే ఉల్లాసంగా"
70,Nenu Nuvvantu,Romantic,2010,"Nadeesh,U.V.Jackey,Naresh Iyer","""నేను నువ్వంటూ వేరై వున్నా, నా కి వేళా నీలో నేన్నునట్టుగా, అనిపిస్తూ వుందే వింతగా, నాకోసం నేనే వెతికేంతగా. ఓ గర్ల్ నువ్వే లేకుంటే లీసెన్ గర్ల్ ఏమవుతానో, ని స్నేహని కావాలంటున్నానుగా, కాదంటే నా మీదొట్టుగా, ఏమైనా చేస్తా నమ్మేటుగా. ఒకసారి చూసి నే వలచాన, నన్ను వీడిపోదు ఏ మగువైన, ప్రేమిస్తానే ఎంతో గాడంగా, నా ప్రేమ లోతులో మునిగాక నువ్వు పైకి తేలవే సులభం గా, ప్రాణాలైనా ఇస్తావ్ ఏకంగా ఓ. నిజాయితీ ఉన్నోడిని నిజాలని అన్నోడిని, అబద్దమే రుచించని అబ్బాయిని, ఒకేఒక మంచోడిని, రొమాన్సుసు లో పిచ్చోడిని, పర్లేదు లే ఒప్పేసుకో సరేనని. ముసుగేసుకోదు ఏ నాడు, నా మనసే ఓ భామ, నను నన్ను గానే చూపిస్తూ, కాదన్నా పోరాడేయ్దే నా ప్రేమ ఓ. నువ్వే లేకుంటే ఏమవుతానో, ని స్నేహని కావాలంటున్నానుగా, కాదంటే నా మీదొట్టుగా, ఏమైనా చేస్తా నమ్మేటుగా. ఒకసారి చూసి నే వలచాన, నన్ను వీడిపోదు ఏ మగువైన, ప్రేమిస్తానే ఎంతో గాడంగా, నా ప్రేమ లోతులో మునిగాక నువ్వు పైకి తేలవే సులభం గా, ప్రాణాలైనా ఇస్తావ్ ఏకంగా ఓ."""
71,Netho Cheppana,Romantic,2005,"K.S. Chitra,S.P.Balasubramanyam","""నీతో చెప్పనా నీక్కూడా తెలిసిన నువ్వెంతగా రెచ్చిపోతే అంత సరదా తెలుసునా. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. నేనే నేనుగా లేనే లేనుగా ఆ ఆ ఆ ఆ నా కన్నుల నిధే వెన్నెల ఓ ఓ ఓ. నీతో చెప్పనా నీక్కూడా తెలిసిన నువ్వెంతగా రెచ్చిపోతే అంత సరదా తెలుసునా. ఇంకొంచం అనుకున్న ఇకచాల్లే అన్నానా వదలమంటే ఏమితర్ధం వదిలి పొమ్మన. పనిమాల పైపైన పడతావేం పసికూన ముద్దు మీరుతున్న పంతం హద్దులోనే ఆపనా. మగువ మనసు తెలిసేనా మగజాతికి. మొగలి మొనలు తగిలేనా లేత సోయగానికి కూత దేనికి. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. ఒదిగున్న ఒరలోన కదిలించకె కుర్రదానా కత్తి సాముతో ప్రమాదం పట్టు జారేనా. పెదవోపని పదునైన పరవాలేదనుకోనా కొత్త ప్రేమలో వినోదం నీకు నేను నేర్పన. సొంత సొగసు బరువేన సుకుమారికి. అంత బిరుసు పరువేన రాకుమారుడాన్టి నీ రాజసానికి. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. నేనే నేనుగా లేనే లేనుగా ఆహ్ ఆహ్ ఆహ్ ఆహ్ నా కన్నుల నీదే వెన్నెల ఓ ఓ ఓ."""
72,Gundello Emundho,Romantic,2002,"Venu,Sumangali","""గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. నిలవదు కద హౄదయం నువు ఎదురుగ నిలబడితే, కదలదు కద సమయం నీ అలికిడి వినకుంటే. కలవరమో తుదివరమో తెలియని తరుణం ఇది. గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. మనస మనస మనస మనస మనస మనస, ఓ మనస ఓ మనస. పూవులో లేనిది నీ నవ్వులో ఉన్నది, నువ్వు ఇప్పుడన్నది నేనెప్పుడును విననిది. నిన్నిలా చూసి పయనించి వెన్నెలె చిన్నబోతోంది, కన్నులే దాటి కలలన్ని నిదురగా వచ్చి నట్టుంది. ఏమో ఇదంతా నిజంగా కలలాగె ఉంది. గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. ఎందుకో తెలియనీ కంగారు పడుతున్నదీ, యెక్కడ జరగనీ ఇంకేమికాదే ఇది. పరిమళం వెంట పయనించి పరుగు తడబాటు పడుతోంది, పరిణయం దాక నడిపించి పరిచయం తోడు కోరింది. దూరం తలోంచె ముహూర్తం ఇంకెపుడొస్తుంది."""
