name ,mood,year,artist,lyrics
Bommani Geesthey,Romantic,2006,"Gopika Purnima,Jeans Srinivas","""బొమ్మని గీస్తే నీలా ఉందీ, దగ్గరకొచ్చి ఓ ముద్దిమ్మంది. సర్లెపాపం అని దగ్గరికెళితే దాని మనసే నీలో ఉందంది. ఆ ముద్దెదో నీకే ఇమ్మంది. సరసాలాడే వయసొచ్చింది, సరదా పడితే తప్పేముందీ. ఇవ్వాలనీ నాకూ ఉంది, కానీ సిగ్గే నన్ను ఆపింది. దానికి సమయం వేరే ఉందంది. చలిగాలి అంది చెలికి వణుకే పుడుతుంది, వెచ్చని కౌగిలిగా నిను అల్లుకుపొమ్మంది. చలినె తరిమేసే ఆ కిటుకే తెలుసండి, శ్రమపడిపోయేకండీ తమ సాయం వద్దండీ. పొమ్మంటావే బాలికా ఉంటానంటేఏ తోడుగా, హబ్బో ఎంత జాలిరా తమరికి నా మీద. ఎం చెయ్యాలమ్మా నీలో ఎదో దాగుంది, నీ వైపే నన్నే లాగింది. అందంగా ఉంది తనవెంటే పది మంది, పడకుండా చూడు అని నా మానసంటుంది. తమకే తెలియంది నా తోడై ఒకటుంది, మరెవరో కాదండీ అది నా నీడేనండీ. నీతో నడిచి దానికీ అలుపొస్తుందే జానకీ, హయ్యో అలక దేనికి నా నీడవు నువ్వేగ్గ. ఈ మాటకోసం ఇన్నాళ్లుగా వేచివుంది, నా మనసు ఎన్నో కలలే కంటుంది. దాని మనసే నీలో ఉందంది, ఆ ముద్దెదో నీకే ఇమ్మంది."""
Manassa,Romantic,2007,Haricharan,"""మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. ఓ సోనా వెన్నెల సోనా, నేనంతా నువ్వయ్యానా, నీ రూపూ రేఖల్లోనా నేనుండీ వెలుగైపోనా. ఓ సోనా వెన్నెల సోనా, నీ వాలే కన్నులోనా, నా చిత్రం చిత్రించెయినా కనుపాపైపోనా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా. నిన్నా మొన్నా ఈ వైనం నాలో లేదమ్మా, ఈరోజేదో ఆనందం చంపేస్తుందమ్మా. నీవే తోడని నిజంగా, నీలో చేరితి క్రమంగా, నీవుంటే ఒక యుగమే అయిపోయే ఇక క్షణమే. తెలుసా తెలుసా ఇది తెలుసా, మార్చేసావే నా ఈ వరసా, నువ్వు మార్చేసావే నా ఈ వరసా. ఓ సోనా వెన్నెల సోనా, రేపావే అల్లరి చానా, చెక్కిల్లో చుక్కైపోనా, చూపుల్తో చుట్టేసెయ్ నా. ఓ సోనా వెన్నెల సోనా, ముంగిట్లో ముగ్గై రానా, ముద్దుల్తో ముంచేసెయ్ నా, కౌగిలికే రానా. మనసా నువ్వుండే, చోటే చెప్పమ్మా, మనసే నీకేదో చెప్పాలందమ్మా."
Naalone Pongenu Narmada,Romantic,2008,"V.V. Prassanna,Harish Raghavendra,Devan Ekambaram","""నాలోనే పొంగెను నర్మదా, నీళ్ళల్లో మురిసిన తామరా, అంతట్లో మారెను రుతువులా, పిల్లా నీవల్లా. నీతో పొంగే వెల్లువా, నీళ్ళల్లో ఈదిన తారకా, బంగారు పూవుల కానుకా, పేరేలే కాంచనా. ఓ శాంతి శాంతి ఓ శాంతి, నా ప్రాణం సర్వం నీవేలే, నా శ్వాసే నీవే దోచావే, చెలి నేనే నీవు అయ్యావే. ఏదో ఒకటి నన్ను కలచి, ముక్కు చివరా మర్మమొకటి, కల్లాకపటం కరిగిపోయే, ముసినవ్వా భోగమెల్లా. నువు నిలిచిన చోటేదో, వెల ఎంత పలికేనో, నువు నడిచే బాటంతా, మంచల్లే అయ్యేనో. నాతోటి రా ఇంటి వరకు, నా ఇల్లే చూసి నన్ను మెచ్చు. నీవు నిలిచిన చోటేదో, వెల ఎంత పలికేనో, నువు నడిచే బాటంతా, మంచల్లే అయ్యేనో. కంటి నిద్రే దోచు కెళ్ళావ్‌ దోచు కెళ్ళావ్‌, ఆశలన్నీ జల్లివెళ్ళావ్‌, నిన్ను దాటి పోతూ ఉంటే పోతూ ఉంటే, వీచే గాలి దిశలు మారు. ఆగంటు నీవంటే నాకాళ్ళే ఆగేనే, నీ తలలో పూలన్నీ వసివాడవు ఏనాడు, కౌగిలింతే కోరలేదు కోరితే కౌగిలి కాదు. నా జీవన సర్వం నీతోనే, నను తలచే నిమిషం ఇదియేనే, నువు లేవు లేవు అనుకుంటే, నా హృదయం తట్టుకోలేదే."""
Cheppave Chirugali,Romantic,2015,"Udit Narayan,Sujatha","""చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఎక్కడే వసంతాల కేళి, చూపవే నీతో తీసుకెళ్లి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఎక్కడే వసంతాల కేళి, ఓ చూపవే నీతో తీసుకెళ్లి. ఆశ దీపికలై మెరిసే తారకలు, చూసే తీపి కలై విరిసే కోరికలు. మనతో జతై సాగుతుంటే, హో అడుగే అలై పొంగుతుంది. ఆ చుట్టూ ఇంకా రేయున్నా, అంతా కాంతే చూస్తున్నా. ఎక్కడ ఎక్కడ ఎక్కడ వేకువ అంటూ, రెక్కలు విప్పుకు ఎగిరే కళ్ళు. దిక్కులు తెంచుకు దూసుకుపోతూ ఉంటె, ఆపగలవ చీకట్లు. కురిసే సుగంధాల హోలీ, ఓ చూపదా వసంతాల కేళి. కురిసే సుగంధాల హోలీ, ఓ చూపదా వసంతాల కేళి. చెప్పవే చిరుగాలి, చల్లగా ఎద గిల్లి. యమునా తీరాలా కథ వినిపించేలా, రాధామాధవుల జత కనిపించేలా. పాడనీ వెన్నెల్లో ఈ వేళా, చెవిలో సన్నాయి రాగంలా. ఓ కలలే నిజమై అందేలా, ఊగే ఊహల ఉయ్యాల. లాహిరి లాహిరి లాహిరి తారంగాల, రాతిరి యేటిని ఈదే వేళా. జాజిరి జాజిరి జాజిరి జానపదంలా, పొద్దే పలకరించాలి. ఊపిరే ఉల్లాసంగా"
Nenu Nuvvantu,Romantic,2010,"Nadeesh,U.V.Jackey,Naresh Iyer","""నేను నువ్వంటూ వేరై వున్నా, నా కి వేళా నీలో నేన్నునట్టుగా, అనిపిస్తూ వుందే వింతగా, నాకోసం నేనే వెతికేంతగా. ఓ గర్ల్ నువ్వే లేకుంటే లీసెన్ గర్ల్ ఏమవుతానో, ని స్నేహని కావాలంటున్నానుగా, కాదంటే నా మీదొట్టుగా, ఏమైనా చేస్తా నమ్మేటుగా. ఒకసారి చూసి నే వలచాన, నన్ను వీడిపోదు ఏ మగువైన, ప్రేమిస్తానే ఎంతో గాడంగా, నా ప్రేమ లోతులో మునిగాక నువ్వు పైకి తేలవే సులభం గా, ప్రాణాలైనా ఇస్తావ్ ఏకంగా ఓ. నిజాయితీ ఉన్నోడిని నిజాలని అన్నోడిని, అబద్దమే రుచించని అబ్బాయిని, ఒకేఒక మంచోడిని, రొమాన్సుసు లో పిచ్చోడిని, పర్లేదు లే ఒప్పేసుకో సరేనని. ముసుగేసుకోదు ఏ నాడు, నా మనసే ఓ భామ, నను నన్ను గానే చూపిస్తూ, కాదన్నా పోరాడేయ్దే నా ప్రేమ ఓ. నువ్వే లేకుంటే ఏమవుతానో, ని స్నేహని కావాలంటున్నానుగా, కాదంటే నా మీదొట్టుగా, ఏమైనా చేస్తా నమ్మేటుగా. ఒకసారి చూసి నే వలచాన, నన్ను వీడిపోదు ఏ మగువైన, ప్రేమిస్తానే ఎంతో గాడంగా, నా ప్రేమ లోతులో మునిగాక నువ్వు పైకి తేలవే సులభం గా, ప్రాణాలైనా ఇస్తావ్ ఏకంగా ఓ."""
Netho Cheppana,Romantic,2005,"K.S. Chitra,S.P.Balasubramanyam","""నీతో చెప్పనా నీక్కూడా తెలిసిన నువ్వెంతగా రెచ్చిపోతే అంత సరదా తెలుసునా. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. నేనే నేనుగా లేనే లేనుగా ఆ ఆ ఆ ఆ నా కన్నుల నిధే వెన్నెల ఓ ఓ ఓ. నీతో చెప్పనా నీక్కూడా తెలిసిన నువ్వెంతగా రెచ్చిపోతే అంత సరదా తెలుసునా. ఇంకొంచం అనుకున్న ఇకచాల్లే అన్నానా వదలమంటే ఏమితర్ధం వదిలి పొమ్మన. పనిమాల పైపైన పడతావేం పసికూన ముద్దు మీరుతున్న పంతం హద్దులోనే ఆపనా. మగువ మనసు తెలిసేనా మగజాతికి. మొగలి మొనలు తగిలేనా లేత సోయగానికి కూత దేనికి. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. ఒదిగున్న ఒరలోన కదిలించకె కుర్రదానా కత్తి సాముతో ప్రమాదం పట్టు జారేనా. పెదవోపని పదునైన పరవాలేదనుకోనా కొత్త ప్రేమలో వినోదం నీకు నేను నేర్పన. సొంత సొగసు బరువేన సుకుమారికి. అంత బిరుసు పరువేన రాకుమారుడాన్టి నీ రాజసానికి. గారం చేసిన నయగారం చూపిన కనికారమే కలుగుతోందే కష్టపడకే కాంచన. నేనే నేనుగా లేనే లేనుగా ఆహ్ ఆహ్ ఆహ్ ఆహ్ నా కన్నుల నీదే వెన్నెల ఓ ఓ ఓ."""
Gundello Emundho,Romantic,2002,"Venu,Sumangali","""గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. నిలవదు కద హౄదయం నువు ఎదురుగ నిలబడితే, కదలదు కద సమయం నీ అలికిడి వినకుంటే. కలవరమో తుదివరమో తెలియని తరుణం ఇది. గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. మనస మనస మనస మనస మనస మనస, ఓ మనస ఓ మనస. పూవులో లేనిది నీ నవ్వులో ఉన్నది, నువ్వు ఇప్పుడన్నది నేనెప్పుడును విననిది. నిన్నిలా చూసి పయనించి వెన్నెలె చిన్నబోతోంది, కన్నులే దాటి కలలన్ని నిదురగా వచ్చి నట్టుంది. ఏమో ఇదంతా నిజంగా కలలాగె ఉంది. గుండెల్లొ ఏముందో కళ్ళళ్ళో తెలుస్తుంది, పెదవుల్లో ఈమౌనం నీ పేరే పిలుస్తోంది. ఎందుకో తెలియనీ కంగారు పడుతున్నదీ, యెక్కడ జరగనీ ఇంకేమికాదే ఇది. పరిమళం వెంట పయనించి పరుగు తడబాటు పడుతోంది, పరిణయం దాక నడిపించి పరిచయం తోడు కోరింది. దూరం తలోంచె ముహూర్తం ఇంకెపుడొస్తుంది."""
Nenu Nenuga ,Romantic,2002,Spb Charan,"""నేను నేనుగ లేనే నిన్న మొన్న లా, లేని పోని ఊహల్లో ఎమిటో ఇలా, ఉన్న పాటుగా ఏదో కొత్త జన్మలా, ఇప్పుడే ఇక్కడే పుట్టినట్టుగా. పూల చెట్టు ఊగినట్టూ పాల బొట్టు చిందినట్టు, అల్లుకుంది నా చుట్టు ఓ చిరు నవ్వు. తేనె పట్టు రేగినట్టు వీణమెట్టు ఒణికినట్టు, ఝల్లుమంది గుండెల్లో యెవరేనువ్వు. నా మనసుని మైమరపున ముంచిన ఆ వాన, మీకేవరికి కనిపించదు ఏమైనా ఓ హో హో ఓ. నేను నేనుగ లేనే నిన్న మొన్న లా, లేని పోని ఊహల్లో ఎమిటో ఇలా, ఉన్న పాటుగా ఏదో కొత్త జన్మలా, ఇప్పుడే ఇక్కడే పుట్టినట్టుగా. చుట్టుపక్కలెందరున్న గుర్తు పట్టలేక వున్న, అంత మంది ఒక్కలాగే కనబడతుంటే. తప్పు నాది కాదుఅన్న ఒప్పుకోరు ఒక్కరైన, చెప్పలేది నిజం ఏదో నాకు వింతే. కళ్ళ నొదిలెళ్ళను అని కమ్మిన మెరుపేదో, చెప్పవ కనురెప్పలకే మాటొస్తే ఓ హో హో ఓ."""
Nee Yadalo Naaku,Romantic,2010,"Yuvan Shankar Raja, Tanvi Shah","""నీ ఎదలో నాకు చోటే వద్దు, నా ఎదలో చేటే కోరవద్దు, మన ఎదలో ప్రేమను మాటే రద్దు, ఇవి పైపైన మాటలులే. నీ నీడై నడిచే ఆశ లేదే, నీ తోడై వచ్చే ద్యాస లేదే, నీ తోటే ప్రేమ పోతేపోనీ, అని అబద్దాలు చెప్పలేనులే. నీ జతలోన నీ జతలోన, ఈ ఎండకాలం నాకు వానాకాలం, నీ కలలోన నీ కలలోన, మది అలలాగ చేరు ప్రేమ తీరం. నీ ఎదలో నాకు చోటే వద్దు, నా ఎదలో చేటే కోరవద్దు, మన ఎదలో ప్రేమను మాటే రద్దు, ఇవి పైపైన మాటలులే. చిరుగాలి తరగంటి నీమాటకే, ఎద పొంగేను ఒక వెల్లువై, చిగురాకు రాగాల నీ పాటకే, తనువూగేను తొలిపల్లవై, ప్రేమ పుట్టాక నాకళ్ళలో, దొంగచూపేదో పురివిప్పెనే, కొంచెం నటనున్నది, కొంచెం నిజమున్నది. ఈ సయ్యాట బాగున్నది, నువ్వల వేస్తే నువ్వల వేస్తే, నా ఎద మారే నా కథ మారే, అరె ఇది ఏదో ఒక కొత్త దాహం, అది పెరుగుతుంటే వీచే చెలి స్నేహం. ఒకసారి మౌనంగా నను చూడవే, ఈ నిమిషమే యుగమౌనులే, నీ కళ్ళలో నన్ను బందించవే, ఆ చెర నాకు సుఖమౌనులే. నిన్ను చూసేటి నా చూపులో, కరిగే ఎన్నెన్ని మునిమాపులో, పసిపాపై ఇలా నా కనుపాపలే, నీ జాడల్లో దోగాడెనే. తొలి సందెలలో తొలి సందెలలో, ఎరుపే కాదా నీకు సింధూర"
Subhalekha,Romantic,1990,S. P. Balasubrahmanyam,"""శుభలేఖ రాసుకున్న యెదలో ఎపుడో, అది నీకు పంపుకున్న అపుడే కలలో. పుష్యమి పూవులా పూజ చేస్తా బుగ్గన చుక్కలతో, ఒత్తిడి వలపుల గంధమిస్తా పక్కలలో. శుభలేఖ అందుకున్న కలయో నిజమో, తోలి ముద్దు జాబు రాసా చెలికె ఎపుడో. శారద మల్లెల పూల జల్లే వెన్నెల నవ్వులలో, శ్రావణ సంధ్యను రంగరిస్తా కన్నులతో. శుభ లేఖ రాసుకున్న యెదలో ఎపుడో, తోలి ముద్దు జాబు రాసా చెలికె ఎపుడో. చైత్రమాసమోచెనేమో చిత్రమైన ప్రేమకి, కోయిలమ్మ కూసేనేమో గొంతునిచ్చి కొమ్మకి. మత్తుగాలి వీచెనేమో మాయదారి చూపుకి, మల్లెమబ్బులాడెనేమో బాల నీలవేణికి. మెచ్చి మెచ్చి చూడసాగె గుచ్చే కన్నులు, గుచి గుచి కౌగిలించే నచ్చే వన్నెలు. అంతేలే కదంతేలే అదంతేలే, శుభలేఖ అందుకున్న కలయో నిజమో. హంసలేఖ పంపలేక హింసపడ్డ ప్రేమకి, ప్రేమలేఖ రాసుకున్న పెదవి రాణి మాటకు. రాధా లాగ మూగబోయా పొన్న చెట్టు నీడలో, వేసవల్లే వేచి ఉన్న వేగు పూల తోటలో. వాలు చూపు మోసుకొచ్చే ఎన్నో వార్తలు, వొళ్ళో దాటి వెళ్లసాగే ఎన్నో వాంఛలు. అంతేలే కదంతేలే అదంతేలే, శుభలేఖ రాసుకున్న యెదలో ఎపుడో, అది నీకు పంపుకున్న అపు"
Oh Sita Hey Rama,Romantic,2022,"Spb Charan,Ramya Behara","""ఓ సీతా వదలనిక తోడౌతా, రోజంతా వెలుగులిడు నీడౌతా. దారై నడిపేనే చేతి గీత, చేయి విడువక సాగుతా. తీరం తెలిపెనే నుదుటి రాత, నుదుట తిలకమై వాలుతా. కనులలో మెరుపులా తారాడే, కలని నేనౌతా. హే రామా ఒకరికొకరౌతామా, కాలంతో కలిసి అడుగేస్తామా, రేపేం జరుగునో రాయగలమా, రాసే కలములా మారుమా. జంటై జన్మనే గీయగలమా, గీసే కుంచెనే చూపుమా. మెరుపులో ఉరుముల దాగుండే, నిజము చూడమ్మా. ఓ సీతా వదలనిక తోడౌతా, హే రామా ఒకరికొకరౌతామా. నేరుగా పైకి తెలుపని, పలుకులన్నీ నీ చూపులై. నేలపై వాలుతున్నవి, అడుగు అడుగున పువ్వులై. ఓ వైపేమో ఓపలేని మైకం, లాగుతోంది మరోవైపు లోకం. ఏమి తోచని సమయమో, ఏది తేల్చని హృదయమో. ఏమో బిడియమో నియమమో, నన్నాపే గొలుసు పేరేమో. నిదుర లేపడుగు ఒక్క, నీ పేరే కలవరిస్తానులే. నిండు నూరేళ్ల కొలువనే, తెలిసి జాగు చేస్తావులే. ఎపుడు లేదే ఏదో వింత బాధే, వంత పాడే క్షణం ఎదురాయే. కలిసొస్తావా ఓ కాలమా, కలలు కునుకులా కలుపుమా, కొలిచే మనిషితో కొలువు ఉండేలా, నీ మాయ చూపమ్మా."""
Inthandam ,Romantic,2022,Spb Charan,"""ఇంతందం దారి మళ్ళిందా, భూమిపైకే చేరుకున్నదా, లేకుంటే చెక్కి ఉంటారా, అచ్చు నీలా శిల్ప సంపదా. జగత్తు చూడనీ, మహత్తు నీదేలే, నీ నవ్వు తాకి, తరించె తపస్సీలా. నిశీదులన్నీ తలొంచే, తుషారాణివా. విసుక్కునె వెళ్ళాడు చందమామయే, నువ్వుంటే నా పనేంటనే, ఈ నేలకే దిగేను కోటి తారలే, నీకంత వెన్నెలేంటనే. నీదే వేలు తాకి, నేలే ఇంచు పైకి, తేలే వింత వైఖరీ. వీడే వీలు లేని, ఏదో మాయలోకి, లాగే పిల్ల తెంపరీ. నదిలా దూకేటి, నీ పైట సహజగుణం, పులిలా దాగుంది, వేటాడే పడుచుతనం. దాసోహమంది నా ప్రపంచమే, అదంత నీ దయే. విసుక్కునె వెళ్ళాడు చందమామయే, నువ్వుంటే నా పనేంటనే, ఈ నేలకే దిగేను కోటి తారలే, నీకంత వెన్నెలేంటనే. చిలకే కోక కట్టి, నిన్నే చుట్టుముట్టి, సీతాకోకలాయేనా. విల్లే ఎక్కు పెట్టి, మెల్లో తాళి కట్టి, మరలా రాముడవ్వనా. అందం నీ ఇంట చేస్తోందా ఊడిగమే, యుద్ధం చాటింది, నీపైన ఈ జగమే. దాసోహమంది నా ప్రపంచమే, అదంత నీ దయే. విసుక్కునె వెళ్ళాడు చందమామయే, నువ్వుంటే నా పనేంటనే, ఈ నేలకే దిగేను కోటి తారలే, నీకంత వెన్నెలేంటనే."""
Pareshanura,Romantic,2016,Padmalatha,"""పరేశానురా పరేశానురా ప్రేమన్నదే పరేశానురా పడితే మరీ పడుకోదురా పని పాటనీ పడనీదురా ఆ ఆ ఇక రేయిని పగటీనీ ఒకటి చేసీ నిదురనూ తరుమునురా ఆ ఆ పొరపాటున నిదురలో జారుకున్నా కలలై దూకును రా ఆ ఆ ఆ ప్యారులో పడిపోతే పరేశానురా ప్యారులో న్యూసెన్సు శురువాయరా ప్యారులో ప్రతి మలుపు దీపాలురా ప్యారులో దోదిల్కి ఫైటు౦దిరా ఒక తికమక మతలబులో మతి అటు ఇటు ఉరుకునురా ఎటు తేలని కిరికిరిలో అది చిటపట వేగునురా ఔననీ కాదననీ ఆటలో కూరుకునీ ఆ ఆ నిను విడువను విడువను విడువనంటూ గొడవలు చేయునురా ఆ ఆ గొడవలూ మోసే గుండె నిండా అరుపులురా కేకలూరా ఆ ఆ ప్యారులో పడిపొతే పరేశానురా ప్యారులో న్యుసెన్సు శురువాయరా ప్యారులో ప్రతి మలుపు దీపాలురా ప్యారులో దోదిల్కి ఫైటు౦దిరా."""
Yemi Cheyamanduve,Romantic,2000,Priyuraalu Pilichindi,"""లేదని చెప్ప నిమిషము చాలు, లేదన్నమాట తట్టుకోమంటే. మళ్ళి మళ్ళి నాకొక జన్మేకావలే ఏమి చేయమందువే. గంధపు గాలిని తలుపులు ఆపుట న్యాయమా, న్యాయమా. ప్రేమల ప్రశ్నకు కన్నుల బదులంటే మౌనమా, మౌనమా. చెలియా నాలొ ప్రేమను తెలుపా ఒక ఘడియ చాలులే. అదె నేను ఋజువె చేయ నూరేళ్ళు చాలవే. హృదయమొక అద్దమని నీ రూపు బింబమని, తెలిపేను హృదయం నీకు సొంతమనీ. బింబాన్ని బంధించ తాడేది లేదు సఖి, అద్దలా ఉయల బింబముగె చెలీ. నువు తేల్చి చెప్పవే పిల్లా, లేక కాల్చి చంపవే లైలా. నా జీవితం నీ కనుపాపలతొ వెంటాడి ఇక వేటాడొద్దే. లేదని చెప్ప నిమిషము చాలు, లేదన్నమాట తట్టుకోమంటే. మళ్ళి మళ్ళి నాకొక జన్మేకావలే. ఏమి చేయమందువే, ఏమి చేయమందువే. గంధపు గాలిని తలుపులు ఆపుట న్యాయమా, న్యాయమా. ప్రేమల ప్రశ్నకు కన్నుల బదులంటే మౌనమా, మౌనమా. చెలియా నాలొ ప్రేమను తెలుపా ఒక ఘడియ చాలులే. అదె నేను ఋజువె చేయ నూరేళ్ళు చాలవే. లేదని చెప్ప నిమిషము చాలు, లేదన్నమాట తట్టుకోమంటే. మళ్ళి మళ్ళి నాకొక జన్మేకావలే. ఏమి చేయమందువే, ఏమి చేయమందువే."""
Jabilli Kosam ,Romantic,1992,Ilaiyaraaja,"""జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై... జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై. నిను కానలేక మనసూరుకోక పాడాను నేను పాటనై. జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై. నువ్వక్కడ నేనిక్కడ పాటిక్కడ పలుకక్కడ మనసొక్కటి కలిసున్నది ఏనాడైనా. నువ్వక్కడ నేనిక్కడ పాటిక్కడ పలుకక్కడ మనసొక్కటి కలిసున్నది ఏనాడైనా. ఈ పువ్వులనే నీ నవ్వులుగా ఈ చుక్కలనే నీ కన్నులుగా. నును నిగ్గుల ఈ మొగ్గలు నీ బుగ్గలుగా ఊహల్లో తేలి ఉర్రూతలూగి. మేఘాలతోటి రాగాల లేఖ నీకంపినాను రావా దేవి. జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై. నిను కానలేక మనసూరుకోక పాడాను నేను పాటనై. జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై. నీ పేరొక జపమైనది నీ ప్రేమొక తపమైనది నీ ధ్యానమె వరమైనది ఎన్నళ్ళయినా. నీ పేరొక జపమైనది నీ ప్రేమొక తపమైనది నీ ధ్యానమె వరమైనది ఎన్నళ్ళయినా. ఉండి లేకా ఉన్నది నీవే ఉన్నా కూడా లేనిది నేనే. నా రేపటి అడియాశల రూపం నీవే దూరాన ఉన్నా నా తోడు నీవే. నీ దగ్గరున్నా నీ నీడ నాదే నాదన్నదంతా నీవే నీవే. జాబిల్లి కోసం ఆకాశమల్లే వేచాను నీ రాకకై. నిను కానలేక"
Idhedho Bagundhe,Romantic,2013,Vijay Prakash,"""కాటుక కళ్ళను చూస్తే పోతుందే మతి పోతుందే, చాటుగా నడుమును చూస్తే పోతుందే మతి పోతుందే, ఘాటుగా పెదవులు చూస్తే పోతుందే మతి పోతుందే, రాటుగా సొగసులు చూస్తే పోతుందే మతి పోతుందే, లేట్ యూ గ ఇంతందాన్ని చూసానా అనిపిస్తుందే, నా మనసే నీవైపోస్తుందే. ఇదేదో బాగుందే చెలి, ఇదేనా ప్రేమంటే మరి, ఇదేదో బాగుందే చెలి, ఇదేనా ప్రేమంటే మరి. నీ మతి పోగొడుతుంటే నాకెంతో సరదాగుందే, ఆశను రేపెడుతుంటే నాకెంతో సరదాగుందే, నిన్నిలా అల్లాడిస్తే నాకెంతో సరదాగుందే, అందంగా నోరూరిస్తే నాకెంతో సరదాగుందే. నీ కష్టం చూస్తూ అందం అయ్యయ్యో అనుకుంటూనే, ఇలాగె ఇంకాసేప్అంటుందే ఇదేదో బాగుందే చెలి, ఇదేనా ప్రేమంటే మరి, ఇదేదో బాగుందే చెలి, ఇదేనా ప్రేమంటే మరి. తెలుసుకుంటావా తెలుపమంటావా, మనసు అంచుల్లో నించున్న నా కలని, ఎదురు చూస్తున్న ఎదుట నే ఉన్న, బదులు దొరికెట్టు పలికించు నీ స్వరాన్ని, వేళా గొంతుల్లోన మోగిందే మౌనం, నువ్వున్న చోటే నేనని, చూసి చూడంగానే చెప్పిందే ప్రాణం, నేనీదాన్నై పోయానని. ఇదేదో బాగుందే చెలి, ఇదేనా ప్రేమంటే మరి, ఇదేదో బాగుందే చెలి,"
Uppenantha ,Romantic,2009,Devi Sri Prasad,"""ఉప్పెనేంత ఈ ప్రేమకి, గుప్పెడంత గుండె ఏమిటో, చెప్పలేని ఈ హాయికి భాషే ఎందుకో. తీయనైనా ఈ బాధకి, ఉప్పునీరు కంట దేనికో, రెప్ప పాటు దురానికే విరహం ఎందుకో. నిన్ను చూసే ఈ కళ్ళకి, లోకమంత ఇంక ఎందుకో, రెండు అక్షరాలా ప్రేమకి ఇన్ని శిక్షలెందుకో. ఐ లవ్ యు నా ఊపిరి ఆగి పోయిన, ఐ లవ్ యు నా ప్రాణం పోయిన, ఐ లవ్ యు నా ఊపిరి ఆగి పోయిన, ఐ లవ్ యు నా ప్రాణం పోయిన. ఉప్పెనేంత ఈ ప్రేమకి, గుప్పెడంత గుండె ఏమిటో, చెప్పలేని ఈ హాయికి భాషే ఎందుకో. కనులలోకొస్తావు కళలు నరికేస్తావు, సెకనుకోసారైనా చంపేస్తావు, మంచులా ఉంటావు మంట పెడుతుంటావు, వెంటపడి నా మనసు మసి చేస్తావు. తీసుకుంటే నువ్వు ఊపిరి, పోసుకుంట ఆయువే చెలి, గుచ్చుకోకు ముళ్లులా మరి, గుండెల్లో సరా సరి. ఐ లవ్ యు నా ఊపిరి ఆగి పోయిన, ఐ లవ్ యు నా ప్రాణం పోయిన. ఉప్పెనేంత ఈ ప్రేమకి, గుప్పెడంత గుండె ఏమిటో, చెప్పలేని ఈ హాయికి భాషే ఎందుకో."""
Konte Chuputho,Romantic,2013,Bellie Raj,"""కొంటె చూపుతో నీ కొంటె చూపుతో నా మనసు మెల్లగా చల్లగా దోచావే చిన్ని నవ్వుతో ఒక చిలిపి నవ్వుతో ఏదో మాయజేసి అంతలోనే మౌనమేలనే. మాటరాని మౌనం మనసే తెలిపే ఎద చాటుమాటు గానం కనులే కలిపే ఈ వేళ కళ్ళు రాసే నీ కళ్ళు రాసే ఒక చిన్ని కవిత ప్రేమేనేమో అది చదివినప్పుడు నా పెదవి చప్పుడు తొలి పాటే నాలో పలికినది. పగలే రేయైనా యుగమే క్షణమైనా కాలం నీ తోటి కరగనీ అందని జాబిల్లి అందిన ఈ వేళ ఇరువురి దూరాలు కరగనీ ఒడిలో వాలాలనున్నది వద్దని సిగ్గాపుతున్నదీ తడబడు గుండెలలో మోమాటమిది. కళ్ళలో నిద్రించి కలలే ముద్రించి మదిలో దూరావు చిలిపిగా నిన్నే ఆశించి నిన్నే శ్వాసించి నీవే నేనంటూ తెలుపగా చూపులు నిన్నే పిలిచెనే నా ఊపిరి నీకై నిలిచెనే చావుకు భయపడనే నువ్వుంటే చెంత."""
